"Title","Path","Start period","Faculteiten","Minor taal","Interessegebied"
"Educatieve minor alfa","/fsw/educatieve-minor-alfa","Periode 2","Geesteswetenschappen, Geowetenschappen, Sociale Wetenschappen","Nederlands","Mens en gedrag, Recht, economie en bestuur, Aarde en milieu, Kunst, cultuur en geschiedenis, Talen en culturen, communicatie, Religie, filosofie en ethiek"
"Educatieve minor bèta","/beta/educatieve-minor-beta","Periode 3","Bètawetenschappen","","Mens en gedrag, Informatietechnologie"
"Educatieve minor gamma","/fsw/educatieve-minor-gamma","Periode 2","Geesteswetenschappen, Geowetenschappen, Recht, Economie, Bestuur en Organisatie, Sociale Wetenschappen","Nederlands","Mens en gedrag, Recht, economie en bestuur, Aarde en milieu, Kunst, cultuur en geschiedenis, Talen en culturen, communicatie, Religie, filosofie en ethiek"
"English Language and Culture","/en/node/351/english-language-and-culture","Periode 1","Geesteswetenschappen","Engels","Kunst, cultuur en geschiedenis, Talen en culturen, communicatie"
"Entrepreneurship","/en/leg/economics-and-business-economics/entrepreneurship","Periode 1, Periode 2, Periode 3, Periode 4","Recht, Economie, Bestuur en Organisatie","Engels","Recht, economie en bestuur"
"Entrepreneurship in Life Sciences and Health","/geo/entrepreneurship-in-life-sciences-and-health","Periode 1, Periode 2, Periode 3, Periode 4","Geowetenschappen","Engels, Nederlands","Mens, dier en gezondheid"
"Esthetica (filosofie van de kunsten)","/gw/esthetica-filosofie-van-de-kunsten","Periode 1","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis, Religie, filosofie en ethiek"
"Ethics in Modern Society","/en/node/351/ethics-in-modern-society","","Geesteswetenschappen","Engels",""
"European Governance","/en/node/607/european-governance","Periode 1","Recht, Economie, Bestuur en Organisatie","Engels","Recht, economie en bestuur"
"Franse taal en cultuur","/gw/franse-taal-en-cultuur-0","Periode 1","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis, Talen en culturen, communicatie"
"Game Studies","/gw/game-studies","Periode 1, Periode 3","Geesteswetenschappen","Engels, Nederlands","Informatietechnologie, Talen en culturen, communicatie"
"Gehandicaptenzorg en kinderrevalidatie","/fsw/gehandicaptenzorg-en-kinderrevalidatie","Periode 2","Sociale Wetenschappen","Nederlands","Mens en gedrag"
"Gender Studies","/en/node/351/gender-studies","Periode 1, Periode 2, Periode 3, Periode 4","Geesteswetenschappen","Engels","Mens en gedrag, Kunst, cultuur en geschiedenis"
"Geneesmiddelonderzoek","/beta/farmacie-b/geneesmiddelonderzoek","","Bètawetenschappen","Nederlands","Mens, dier en gezondheid"
"Geologie van de vaste aarde","/geo/aw/geologie-van-de-vaste-aarde","Periode 1","Geowetenschappen","Nederlands","Aarde en milieu"
"Geschiedenis","/gw/geschiedenis-0","Periode 1, Periode 2, Periode 3","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis"
"Geschiedenis en Filosofie van de Natuurwetenschappen","/beta/geschiedenis-en-filosofie-van-de-natuurwetenschappen","Periode 2","Bètawetenschappen","Nederlands","Natuur, Religie, filosofie en ethiek"
"Geschiedenis en herinnering in de digitale wereld","/gw/geschiedenis-en-herinnering-in-de-digitale-wereld","Periode 1","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis, Talen en culturen, communicatie"
"Global Asia","/en/hum/global-asia","Periode 3","Geesteswetenschappen","Engels","Kunst, cultuur en geschiedenis"
"Global Change","/geo/global-change","Periode 1, Periode 2, Periode 3, Periode 4","Geowetenschappen","Engels, Nederlands","Aarde en milieu"
"Globalisering en mondiale ongelijkheid","/geo/globalisering-en-mondiale-ongelijkheid","Periode 1, Periode 2, Periode 3, Periode 4","Geowetenschappen","Nederlands",""
"Gouden tijden in Vroegmodern Europa: conflict, competitie en creativiteit","/gw/gouden-tijden-in-vroegmodern-europa","Periode 1","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis, Talen en culturen, communicatie"
"Griekse taal & cultuur in de Europese traditie","/gw/griekse-taal-cultuur-in-de-europese-traditie","Periode 1","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis, Talen en culturen, communicatie"
"Grote werken uit de literatuur","/gw/grote-werken-uit-de-literatuur","","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis, Talen en culturen, communicatie"
"Health, Behaviour, and Society ","/en/fss/health-behaviour-and-society","Periode 2","Sociale Wetenschappen","Engels","Mens en gedrag"
"Het goede, het ware, het schone","/gw/het-goede-het-ware-het-schone","Periode 1, Periode 2","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis, Religie, filosofie en ethiek"
"Informatica","/beta/informatica/informatica","Periode 1","Bètawetenschappen","Nederlands","Informatietechnologie"
"Informatica voor hbo-studenten","/beta/informatica/informatica-voor-hbo-studenten","Periode 1","Bètawetenschappen","Nederlands","Informatietechnologie"
"Informatiekunde","/beta/informatiekunde/informatiekunde-0","Periode 1, Periode 3","Bètawetenschappen","Nederlands","Informatietechnologie"
"Inleiding in het recht ","/rebo/inleiding-in-het-recht","Periode 1","Recht, Economie, Bestuur en Organisatie","Nederlands","Recht, economie en bestuur"
"Innovatiewetenschap (Innovation Science)","/geo/innovatiewetenschap","Periode 1","Geowetenschappen","Engels, Nederlands","Aarde en milieu"
"Internationale betrekkingen","/gw/internationale-betrekkingen","Periode 1","Geesteswetenschappen","Nederlands","Recht, economie en bestuur, Kunst, cultuur en geschiedenis, Talen en culturen, communicatie"
"Islam","/gw/islam","","Geesteswetenschappen","Nederlands","Talen en culturen, communicatie, Religie, filosofie en ethiek"
"Italiaanse taal en cultuur","/gw/italiaanse-taal-en-cultuur-0","","Geesteswetenschappen","Nederlands","Talen en culturen, communicatie"
"Jeugd en criminaliteit","/fsw/jeugd-en-criminaliteit","Periode 1","Sociale Wetenschappen","Nederlands","Mens en gedrag"
"Jeugdstudies","/fsw/jeugdstudies-0","Periode 1","Sociale Wetenschappen","Nederlands","Mens en gedrag"
"Keltische talen en cultuur","/en/node/351/keltische-talen-en-cultuur","","Geesteswetenschappen","Engels, Nederlands","Kunst, cultuur en geschiedenis, Talen en culturen, communicatie"
"Kunst, beleid en maatschappij","/gw/kunst-beleid-en-maatschappij","Periode 1, Periode 3","Geesteswetenschappen","Nederlands","Recht, economie en bestuur, Kunst, cultuur en geschiedenis"
"Kunstgeschiedenis","/gw/kunstgeschiedenis-1","Periode 1","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis"
"Kunstmatige intelligentie","/gw/kunstmatige-intelligentie","Periode 1, Periode 2","Geesteswetenschappen","Nederlands","Mens en gedrag, Informatietechnologie, Kunst, cultuur en geschiedenis"
"Latijnse taal & cultuur in de Europese traditie","/gw/latijnse-taal-cultuur-in-de-europese-traditie","Periode 1","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis, Talen en culturen, communicatie"
"Leerproblemen","/fsw/leerproblemen","Periode 2","Sociale Wetenschappen","Nederlands","Mens en gedrag"
"Literature in conflict","/gw/literature-in-conflict","","Geesteswetenschappen","Nederlands","Talen en culturen, communicatie"
"Literatuur en levensbeschouwing","/gw/literatuur-en-levensbeschouwing","Periode 1","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis, Talen en culturen, communicatie"
"Literatuurwetenschap","/gw/literatuurwetenschap-0","","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis, Talen en culturen, communicatie"
